name	email	company	groupid	group	"created at"	password	todelete(Y)	tomodify(Y)	id
Halomoan	5113f1decf0bc0ed@uportal.test	1002	1	"QAS Barcode Server"	"2020-08-22 22:16:03"				2
Suryanah	suryanah@gmail.com	UOL	4	Finance	"2020-09-04 21:53:06"				3
Suryanah	suryanah@gmail.com	UOL	3	Users	"2020-09-04 21:53:06"				3
Suryanah	suryanah@gmail.com	UOL	1	"QAS Barcode Server"	"2020-09-04 21:53:06"				3
Sandy	sandy@gmail.com	Sandy	1	"QAS Barcode Server"	"2020-10-16 09:42:26"				8
Sandy	sandy@gmail.com	Sandy	3	Users	"2020-10-16 09:42:26"				8
"Andy Lau"	andy@gmail.com	Andy	1	"QAS Barcode Server"	"2020-10-16 09:55:34"				9
"Andy Lau"	andy@gmail.com	Andy	3	Users	"2020-10-16 09:55:34"				9
"New Phones"	23333332422222112@uportal.test	1001	1	"QAS Barcode Server"	"2020-10-16 22:54:52"				11
"Clain Kasim"	clain@gmail.com	Clain	3	Users	"2020-10-16 22:58:30"				12
"Clain Kasim"	clain@gmail.com	Clain	2	"PRD Barcode Server"	"2020-10-16 22:58:30"				12
"Clain Kasim"	clain@gmail.com	Clain	4	Finance	"2020-10-16 22:58:30"				12
Rosi	2124577954533421@uportal.test	2000			"2020-10-17 08:10:14"				13
Kamu	kami123456799012@uportal.test	1001	1	"QAS Barcode Server"	"2020-10-17 08:14:37"				14
"Ryan Kasim"	ryan@gmail.com	Ryan	1	"QAS Barcode Server"	"2020-10-17 08:19:28"				15
"Ryan Kasim"	ryan@gmail.com	Ryan	3	Users	"2020-10-17 08:19:28"				15
